Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
Ontario Research Fund - Research Infrastructure,7911,Fuel Cell Research and Innovation Centre,Multi-institutional proposal to obtain infrastructure support for the study of electrochemical properties and key characteristics of materials used to make economic fuels.,5,N/A,10900,99998,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,Royal Military College of Canada,Kingston,"$527,737","$4,243,624","fuel cells, materials, manufacturing methods, fuel processing, surface chemistry, impedance spectroscopy, catalysis, hydrogen, thermogravimetry, electrochemistry.",Capital,,Brant,,Peppley,Bio-economy and clean technologies
Ontario Research Fund - Research Infrastructure,10399,Computational Science and Visualization Laboratory (CSVL),"CSVL will provide the computational and visualization tools required for the problem formulation, the computer code development, and the data visualization and analysis of a wide range of multi-disciplinary computational science research programs within Science and Engineering.",10,N/A,5000,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Ontario Institute of Technology,Oshawa,"$50,000","$147,489","computational science, scientific visualization, problem and computer program development, computer hardware and software",Capital,,Gregory,,Lewis,Digital media and information and communications technologies
Ontario Research Fund - Research Infrastructure,10432,"Centre for Engineering Design, Automation, and Robotics (CEDAR)",CEDAR will establish facilities for both the development and testing of reconfigurable and modular robots for flexible manufacturing systems and for exploring the use of redundant robots and mobile-manipulator systems for applications ranging from materials handling to robots for space.,7,N/A,11200,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Ontario Institute of Technology,Oshawa,"$87,100","$391,834","Robots, Flexible Manufacturing, Material Handling, Machine Vision, Reconfigurable Manipulators, Mobile-Manipulator Systems, Redundant Manuipulators",Capital,,Scott,,Nokleby,Not Applicable
Ontario Research Fund - Research Infrastructure,12571,Facility for Nematode Ion Channel Research,"Researchers led by Sean Forrester, intend to develop a drug treatment to control parasites (called parasitic nematodes) that are potentially lethal to livestock. Researchers hope to gain a better understanding of the nervous system of these parasites, looking at specific receptors that have potential as drug targets. The problem of parasitic infections is global in scope and has a huge negative economic impact. Parasite infection of livestock is a serious problem in Ontario and internationally, and an effective treatment would be of great economic benefit to that industry.",7.4.2,N/A,14700,99998,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,University of Ontario Institute of Technology,Oshawa,"$38,129","$130,538","Electrophysiology, ligand-gated ion channels, Western Blots, protein analysis, molecular biology, parasitology, pharmacology",Capital,,Sean,,Forrester,Pharmaceutical research and manufacturing
Ontario Research Fund - Research Infrastructure,202263,Development of Continuous-flow Wet-laboratory and Controlled Temperature Room Facilities for the Investigation of Pulse-exposure Effects of Contaminants on Aquatic Organisms and Biomarker Validation,The proposed facility will allow a full suite of environmental aquatic studies to be undertaken and to permit world class researchers to investigate the physiological and toxicological impacts of chemical and physical contaminants on freshwater environments.,3,N/A,14100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,University of Ontario Institute of Technology,Oshawa,"$125,000","$794,296","pulse-exposure, modifying factors, biomarkers, aquatic organisms, biosensors",Capital,,Douglas,,Holdway,Not Applicable
Ontario Research Fund - Research Infrastructure,7988,Centre for Advanced Photovoltaic Devices and Systems,"This highly innovative project proposes the establishment of a comprehensive, state-of-the-art facility for developing affordable photovoltaic materials, and manufacturing technologies to accelerate the development of photovoltaic energy in Canada.",5.5,N/A,11600,99998,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,University of Waterloo,Waterloo,"$1,385,046","$12,294,913","Solar cells, Crystalline Silicon, Renewable energy, Photovoltaics, Amorphous silicon, Spheral technology, Semiconductors, Environment, Thin films, Metallurgical grade silicon",Capital,,Siva,,Sivoththaman,Bio-economy and clean technologies
Ontario Research Fund - Research Infrastructure,8547,An Experimental and Distributed Laboratory to Sustain Collaborative Work,"Proposed facilities that provide collaborative work in Information Technology for integration and remote sharing of multi-sensorial perceptual information offer unlimited opportunities for business, industry, services and education. Promote remote collaboration, sharing real time images and data among experts, allowing them to effect and monitor the target environment.",2.5,N/A,11800,99998,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,University of Waterloo,Waterloo,"$41,945","$337,290","Interfaces usagers perceptuelles, travail collaboratif, laboratoire virtuel, téléprésence, réseaux et QoS, reconnaissance de formes et apprentissage, gestion des technologies, performance d'équipe de travail, évaluation de processus",Capital,,Mohamed,,Kamel,Digital media and information and communications technologies
Ontario Research Fund - Research Infrastructure,9680,"Development of ""Green"" Nano-Technology for Nano-Structured Polymers","The objectives are to develop novel polymer nano-technologies in an environmentally benign (""green"") way, synthesize a number of nano-structured polymers which have important potential applications using the ""green"" method , explore the valuable applications of the nano-structured polymers synthesized, and train numerous highly qualified personnel via these series of innovative research projects. Canadian researchers should be more active in this area.",4.3,N/A,11100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,University of Waterloo,Waterloo,"$128,458","$321,145","polymer materials, nano-particles,nano-pores, nano-coatings, nano-membrane, nano-catalysts, ""green"" technology, supercritical fluid, differential micro-emulsion polymerization, climate change",Capital,,Qinmin,,Pan,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10013,"Facility for Research in Piano Design, Technology, and Manufacturing","The equipment will help establish a world-class multi-disciplinary research facility focused exclusively on piano design principles, technology and manufacturing techniques, from an engineering perspective.",7.12,N/A,5000,99998,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,University of Waterloo,Waterloo,"$111,998","$279,998","piano design, piano technology, piano manufacturing, material properties, processing, wire, modelling, simulation, experimental mechanics, vibration analysis",Capital,,Stephen,,Birkett,Not Applicable
Ontario Research Fund - Research Infrastructure,10017,Research facility to study the genetic/physiological determinants of metabolic rate and obesity,The requested equipment will be used to assess alterations to both skeletal muscle and whole-body metabolic rate and susceptibility to obesity in rodents.,4,N/A,14900,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Waterloo,Waterloo,"$191,457","$478,642","calorimetry, metabolic rate, energy balance, obesity, thermogenesis, skeletal muscle, sarcoplasmic reticulum, Ca2+ transport efficiency, transgenic mice",Capital,,Russell,,Tupling,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10163,Electricity Market Simulation and Optimization Laboratory (EMSOL),"Research will be carried out in areas of power system operation and control and mathematical optimzation methods, with particular emphasis on how these issues are handled in the new electricity market environment.",5,N/A,11600,99998,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,University of Waterloo,Waterloo,"$145,000","$392,797","Power system operation, power system control, electricity markets, optimization algorithms, mathematical modelling, system simulation",Capital,,Kankar,,Bhattacharya,Bio-economy and clean technologies
Ontario Research Fund - Research Infrastructure,10171,Micro-Systems Research Center,"The proposed centre will establish a unique focal point in Canada where research into the fundamental behaviour, dynamic characteristics, design, manufacture, integration, and control of nano and micro-scale systems will be conducted concurrently, through close collaboration among investigators.",7.2,N/A,11200,99998,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,University of Waterloo,Waterloo,"$340,488","$851,220","micro-devices, micro-manipulators, magnetic levitation, MEMS/NEMS, thin films, sensors, actuators, control",Capital,,Mustafa,,Yavuz,Not Applicable
Ontario Research Fund - Research Infrastructure,10251,"A Facility to Develop Novel Micro Devices and Analysis Tools for Biomedical, Environmental and Safety Applications","This infrastructure will support the design and optimization of stand-alone Lab-on-a-Chip devices, which can cost-effectively perform complex chemical and biomedical analysis. The requested equipment consists of a Rapid Prototyping System, a Fluorescent Visualization System and a High-Performance Computing System.",4,N/A,11200,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Waterloo,Waterloo,"$193,434","$496,423","micro manufacturing, lab-on-a-chip, micro combustor, Computational Fluid Dynamics (CFD), biochemical reaction, emissions.",Capital,,Cecile,,Devaud,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10277,Investigation of Knee Joint Loading Patterns Following Injury and Their Influence on Articular Cartilage Remodelling,"The infrastructure will enable research in kinesiology, specifically osteoarthritis, a disease that affects approximately 1.6 million Ontarians. In particular, it will focus on  knee joint contact stresses. The equipment to be purchased includes the following systems: a force platform; an electromyography; and, data-collection and processing.",4,N/A,41800,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Waterloo,Waterloo,"$124,900","$312,251","in-vivo movement analysis, biomechanical modelling, in-vitro tissue testing, musculoskeletal biomechanics, knee joint loading, joint injury, cartilage remodelling, osteoarthritis",Capital,,Jennifer,L.,Durkin,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10298,"Development of a research database in Medieval Studies: a WEB-based, searchable, electronic corpus of Albertus Magnus’ complete works","The proposed infrastructure will enable the development of a WEB-based database that will allow searches through the entirety of Albertus Magnus' works. In addition to fostering Ontario's excellent reputation in Medieval studies, the project will generate research possibilities in fields of philosophy, theology, history of science, linguistics and religious studies.",10,N/A,21200,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Waterloo,Waterloo,"$18,110","$45,275","Albertus Magnus, electronic, searchable, web-based, corpus, philosophy, theology, science",Capital,,Bruno,,Tremblay,Not Applicable
Ontario Research Fund - Research Infrastructure,10458,Resources for Computational Research Innovation,"The Infrastructure will facilitate research programs with extraordinary potential to advance fields including data mining, quantum computing, e-commerce oceanic and atmospheric modelling, weather prediction, biomedical research, artificial intelligence, cryptography, software engineering, numerical linear algebra, grid computng, next-generation databases and ubiquitous computing systems.",7.6.3,N/A,11800,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,University of Waterloo,Waterloo,"$348,469","$957,758","grid computing, database management, quantum computing, data mining, computational number theory, numerical linear algebra, harmonic analysis, spatial temporal modelling, computational learning theory, fluid dynamics",Capital,,K.G.,,Hare,Digital media and information and communications technologies
Ontario Research Fund - Research Infrastructure,202335,Facilities for Research in nano-biomaterials,Research enabled through this Chair will generate a new set of molecular engineering principles for peptide sequence design and its application in anticancer drug delivery.,4.3,N/A,10900,99998,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,University of Waterloo,Waterloo,"$153,702","$384,209","Self-assembly, peptides, ionic-complementarity, molecular engineering, anticancer drug delivery",Capital,,Pu,,Chen,Advanced health technologies
Ontario Research Fund - Research Infrastructure,202345,Molecular Biotechnology Infrastructure for Study of High-Level Recombinant Protein Production and Protein Folding,The proposed research will develop a systematic and innovative approach for efficient bioprocess design toward high-level recombinant protein production through integration of biochemical and genetic strategies.,7.14,N/A,10900,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Waterloo,Waterloo,"$130,895","$358,511","recombinant protein, microbial cell-surface display, periplasmic expression, protein folding, biocatalyst",Capital,,Perry,,Chou,Advanced health technologies
Ontario Research Fund - Research Infrastructure,202361,Research Infrastructure for Quantitative Risk Management at University of Waterloo,"The research seeks to develop sophisticated mathematical tools for risk management, including the optimal allocation of pension plan assets, a particularly salient issue given the aging population and its dependence on pension income. Sophisticated models for pricing and hedging of complex financial products will also be developed.",10,N/A,12200,99998,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,University of Waterloo,Waterloo,"$149,286","$378,850","Risk management, Quasi-Monte Carlo methods, Quantitative finance, Optimal Asset allocation, Pricings and hedgings",Capital,,Ken,Seng,Tan,Not Applicable
Ontario Research Fund - Research Infrastructure,202364,Infrastructure for Canada Research Chair in Statistical Methods for Health Research at the University of Waterloo,"The research is focused on the development of innovative statistical methodology for the analysis of life history data to ensure outstanding problems in medical research are rigourously and efficiently addressed. The aim is to advance the understanding of disease prevention, progression and treatment.",4,N/A,12200,99998,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,University of Waterloo,Waterloo,"$142,792","$362,604","Chronic disease processes, life history analysis, longitudinal studies, population health, clinical trial methodology.",Capital,,Richard,J.,Cook,Advanced health technologies
Ontario Research Fund - Research Infrastructure,202369,The Waterloo Health Economics Data Lab (WHEDL) at the University of Waterloo,"The research will investigate the effects of the changing social, cultural, and economic conventions, and the public policies enacted to effect or address them, on the health and well-being of Canadians, and more specifically women and children. It will focus on policies addressing equities in health and well-being, health care utilization, socio-economic status and gender.",7.1,N/A,22400,99998,Small Infrastructure Fund - Round 002 - 2004 - October,24-Feb-05,University of Waterloo,Waterloo,"$34,891","$87,228","health economics, econometrics, public policy, socioeconomic determinants of health and health care utilization",Capital,,Lori,,Curtis,Not Applicable
Ontario Research Fund - Research Infrastructure,11238,"High-resolution Optical Microscopy and Microspectroscopy System for the Studies of Colloids, Self-assembly, and Advanced Materials","Discovering and developing new materials is important for many sectors of Ontario’s economy including medical research, environmental science and biotechnology. Dr. Kitaev’s proposed research at Wilfrid Laurier University will draw from a variety of disciplines to focus on producing new, improved composite materials for use in a number of areas.  These materials will have great potential for applications in areas such as environmental cleanups.",7.4,N/A,11100,99998,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,Wilfrid Laurier University,Waterloo,"$24,051","$67,017","Materials chemistry, colloid chemistry, self-assembly, nanoparticles, composite materials, sensors, high-resolution optical microscopy, digital imaging, microspectroscopy, surfaces",Capital,,Vladimir,,Kitaev,Not Applicable
Ontario Research Fund - Research Infrastructure,11292,An ultracentrifuge for isolating membranes of chloroplasts and other sub-cellular compartments and for purifying DNA and proteins,"How proteins in plant cells travel to the part of the cells that contain chlorophyll is a growing area of interest in the development of genetically modified crops. This is the focus of Dr. Smith’s research at Wilfrid Laurier University. The Ontario Research Fund infrastructure award will help pay for an ultracentrifuge, which operates at very high speed to separate the very fine particles in a cell. This makes much more efficient processing and analysis possible. Abnormal placement of proteins results in a number of human diseases like cystic fibrosis, Zellweger and Niemann-Pick syndrome. Understanding the molecular details of how proteins move to their proper cell compartment is therefore of interest to researchers studying the causes and treatments of these disorders.",10,N/A,14300,99998,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,Wilfrid Laurier University,Waterloo,"$41,429","$103,572","Tabletop ultracentrifuge, chloroplast targeting assays, chloroplast outer and inner envelope membrane purification, thylakoid membranes, proteoliposome isolation, DNA isolation and purification, protein purification",Capital,,Matthew,,Smith,Not Applicable
Ontario Research Fund - Research Infrastructure,12537,Infrastructure for Cognition in Action Laboratory,"Sukhvinder Obi leads research studies on how the brain codes spatial information and how this coding helps in the production of purposeful, goal directed actions. The brain uses a number of reference points to code the position of an object, and this spatial information is necessary for the brain to program a successful action. For example, picking up a cup of coffee and taking a sip seems like the simplest of tasks. The complex neurological process of how the brain can codify the position of the cup and direct the hand correctly is still not fully understood.  A better understanding of how the process works will have implications for directing rehabilitation of brain injury victims, as well as better designs and training for those for whom accuracy of motion is critical, like pilots, dentists and surgeons.",4.9,N/A,15100,99998,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,Wilfrid Laurier University,Waterloo,"$112,023","$280,066","Visuomotor Control, Bimanual Coordination, Frames of Reference, Multi-stimuli environments, Motion Tracking, Transcranial Magnetic Stimulation, Neuroimaging, EMG.",Capital,,Sukhvinder,S.,Obhi,Advanced health technologies
Ontario Research Fund - Research Infrastructure,202639,Cold Regions Hydrology Infrastructure,"Boreal forest covers over half of Ontario, and contains most of its fresh water.  However, there are serious concerns about the future availability of the fresh water resource, because of its vulnerability to climate warming and human activities.  This project will develop predictive tools built on a comprehensive scientific understanding of water flux and storage processes in the context of the hydrologic cycle.",1.4,N/A,13900,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Wilfrid Laurier University,Waterloo,"$100,813","$252,033","hydrology, cold regions, runoff, predictive tools",Capital,,William,L,Quinton,Not Applicable
Ontario Research Fund - Research Infrastructure,9746,Impact of Reinforcement Corrosion on Serviceability and Strength of reinforced Concrete Structures,"The research focuses on the investigation of the structural effects of reinforcement corrosion on reinforced concrete structures. The significance of this research is the improved understanding of the effects of corrosion on residual strength and service life of reinforced concrete structures, and the direct application of this knowledge on the management of Ontario’s aging and deteriorating infrastructure.",2,N/A,10100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,University of Ottawa,Ottawa,"$52,097","$135,759","Reinforcement Corrosion, Strenght Reduction Functions, Finite Element Modelling, Service Life Modelling",Capital,,Beatriz,,Martin-Perez,Not Applicable
Ontario Research Fund - Research Infrastructure,9814,Research Laboratory for Exploring the Teaching and Learning of Mathematics,"The ultimate goal of this research is to improve students' understanding of mathematics and, therefore, their level of mathematical proficiency in a measurable fashion. In order to achieve this the research must focus on how to help teachers develop a deeper understanding of mathematics and effective mathematical instruction so that they are more capable of classroom activity that deepens student understanding of mathematics.",8.1,N/A,21000,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,University of Ottawa,Ottawa,"$99,951","$249,879","Mathematics Education, Teacher Knowledge, Teacher Education, Mathematics Reform, Elementary Education, Secondary Education",Capital,,Christine,,Suurtamm,Not Applicable
Ontario Research Fund - Research Infrastructure,202819,Establishing a research laboratory to measure acute and chronic airway inflammatory changes in obstructive airway disease,"Airway-related conditions such as asthma and Chronic Obstructive Pulmonary Disease (COPD) lead to thousands of untimely deaths each year. Current strategies of therapy do not prevent approximately 30 per cent of exacerbations due to asthma and COPD. At McMaster University, Dr. Parameswaran Nair will lead a project focusing on non-invasive airway inflammation development and measurement, along with cell migration research using equipment to be funded by the ORF Research Infrastructure program.  Development of easy, non-invasive measurements of airway inflammation will help the pharmaceutical industry evaluate new products for their anti-inflammatory activities.",4,N/A,41300,99998,Small Infrastructure Fund - Round 005 - 2005 - October,26-Jun-06,McMaster University,Hamilton,"$101,892","$254,731","Airway inflammation, noninvasive measurement, asthma, COPD, smooth muscle",Capital,,Parameswaran,,Nair,Advanced health technologies
Ontario Research Fund - Research Infrastructure,9862,Integrated Tools for the Asymmetric Catalysis Laboratory,The focus of this research is on generating novel catalysts for stereoselective chemistry.,10,N/A,13100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Brock University,St.Catharines,"$58,580","$146,694","glove box, parallel synthesizer, HPLC, chiral ligands, catalysis, asymmetric synthesis, organic methodology, biferrocenes, amino/hydroxyferrocenes, N-heterocyclic carbenes",Capital,,Costa,,Metallinos,Not Applicable
Ontario Research Fund - Research Infrastructure,10118,"The Impact of Childhood Obesity on Cardiovascular Health: Arterial Stiffness, Baroreflex Sensitivity and Left Ventricular Structure and Function","Research conducted will create a laboratory to investigate ""The Impact of Childhood Obesity on Cardiovascular Health"".  Equipment will be used to investigate the effects of childhood obesity on arterial stiffness, blood pressure regulation, and heart structure and function.",10,N/A,15200,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Brock University,St.Catharines,"$65,023","$206,241","arterial stiffness, baroreflex sensitivity, left ventricular function, obesity, children and adolescents, Doppler ultrasound, transfer function analysis, physical fitness, cerebrovascular autoregulation, orthostasis",Capital,,Deborah,,O'Leary,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10492,Computational Facility for Asymmetric Catalysis,"The research specifically examines: a) The development of an automated program for rapid catalyst screening and the prediction of reaction selectivities to allow for a computer-based approach for structural optimization of stereoselective catalysts design; b) The study of asymmetric reactions of nucleophilic N-heterocyclic carbenes (NHCs) and the design of chiral derivatives using computation which have improved patterns of reactivity; and c) - Nucleophilic phosphine catalyzed annulations of allenoates with aldehdyes for the preparation of medicinally useful heterocycles, d) The rationalization of the levels of stereoinduction afforded by chiral Bronsted acid catalysts.",7.4,N/A,13100,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Brock University,St.Catharines,"$35,000","$173,924","Computational,Theoretical,Asymmetric,Catalysis, Organic Synthesis",Capital,,Travis,,Dudding,Not Applicable
Ontario Research Fund - Research Infrastructure,11263,"Integrated Tools for DNA, RNA and Bioconjugate Synthesis","The development of new gene-based therapies and diagnostic tools is a major interest in current health-maintenance and health-care research. Dr. Hongbin Yan of Brock University will purchase new laboratory equipment, to conduct advanced research into the structure and manipulation of nucleic acids (the basic materials of genes), fats and sugars. The new equipment will support research into the development of novel drug delivery methods for one kind of genetic material [called small interference RNA (Ribose-Nucleic Acid)], new platforms to control bacterial infections, and new methodologies for the synthesis of nucleic acids. The research, which targets autoimmune diseases and cystic fibrosis, will advance  knowledge of these medical disorders and help develop new interventions.",4,N/A,13100,99998,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,Brock University,St.Catharines,"$77,309","$193,273","Solid-phase DNA/RNA synthesizer, High Performance Liquid Chromatography (HPLC), small interference RNA, carbohydrate, glycoconjugates, liposome, drug delivery",Capital,,Hongbin,,Yan,Advanced health technologies
Ontario Research Fund - Research Infrastructure,9743,Establishment of a Confocal Microscopy Facility for Studying Poxvirus Replication,"The research focuses on understanding gene function of human pox viruses, including genes involved in immune evasion and potential antiviral drug targets, by an appraoch that relies heavily on cellular localization of viral gene products visualized by fluorescence confocal microscopy. A novel, rapid gene expression system will be developed and optimized to facilitate the cloning and expression of pox virus genes from the model systems. This gene expression has the potential for wider application.",4.9,N/A,14600,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Trent University,Peterborough,"$155,539","$451,349","confocal microscopy, protein localization, recombinant viruses, molecular virology, fluorescent microscopy",Capital,,Craig,,Brunetti,Advanced health technologies
Ontario Research Fund - Research Infrastructure,9803,Establishment of a Bioarchaeology Laboratory,"The facility will enable researchers to extract and analyze ancient DNA from human and non-human remains. Thin sectioning of bones and teeth will allow for the examination of historical structures and can potentially aid in disease diagnosis. The facility will also provide training opportunities for highly qualified personnel in forensic anthropological and DNA-based applications relevant to undergraduates, graduate students and other professionals in law enforcement agencies.",10,N/A,20100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Trent University,Peterborough,"$127,937","$372,985","bioarchaeology, ancient DNA, palaeopathology, physical anthropology, skeletal biology, stable isotopes",Capital,,Anne,,Keenleyside,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10419,Infrastructure for the establishment of an ecological and evolutionary physiology laboratory,The requested infrastructure would establish an internationally recognized ecological and evolutionary physiology laboratory at Trent University.,3.10,N/A,14100,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Trent University,Peterborough,"$91,000","$232,298","environmental stress, metabolism, growth, enzyme, immunocompetence,gene expression, radioimmunoassay, bird",Capital,,Gary,,Burness,Not Applicable
Ontario Research Fund - Research Infrastructure,10462,Establishment of an AAS and CNS facility for forest biogeochemistry research,"The proposed infrastructure, if funded, would further enhance the PI's ability to investigate base cation cycling in forests and to develop predictive models for assessing the extent of the forest that is at risk, which is of benefit to helping ensure forest health and productivity in Ontario and the rest of Canada.",3,N/A,13600,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Trent University,Peterborough,"$86,892","$217,230","base cations, forests, soils, nutrient status, carbon, nitrogen, sulphur, modeling",Capital,,Shaun,,Watmough,Not Applicable
Ontario Research Fund - Research Infrastructure,11814,Laboratory For Coherent Control of Novel Molecular States,"Innovative products and processes and the new jobs and income that flow from them are often rooted in new, unusual materials. Scientists at Trent University are in the early stages of a hunt for such new materials. Led by physicist Ralph C. Sheill, the Trent team will be using special laser equipment, funded with an Ontario Research Fund infrastructure award, to create and study new molecules called Rydberg systems. These molecules are extraordinarily large. The bonds linking their atoms are almost 1,000 times longer than typical. Materials with exaggerated properties, like heavy Rydberg systems, can offer a myriad of technological benefits leading to new methods of information processing, or manufacture of semiconductor devices.   This research will foster a deeper understanding of how these systems are formed, and the ability to create large numbers on demand, and insights into how their properties can be studied and new uses uncovered.",7.6,N/A,12300,99998,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,Trent University,Peterborough,"$102,637","$256,592","molecule-laser interactions, heavy Rydberg systems, ultraviolet tuneable laser source, highly excited states, predissociating resonances, wave packet dynamics",Capital,,Ralph,,Shiell,Digital media and information and communications technologies
Ontario Research Fund - Research Infrastructure,11841,"The Synthesis, Characterization and Identification of Atmospheric Pollutants and Degradation Products in the Canadian Troposphere","Environmental scientists at Trent University are using new laboratory equipment, funded with an Ontario Research Fund infrastructure award, to examine new, emerging air pollutants, determine their impact on the air we breathe and prescribe appropriate protections. Led by chemist David Ellis, the Trent group is examining the nature of new air pollutants, the way they interact, and their environmental fate. When pollutants are emitted into the atmosphere they undergo chemical reactions that produce new species or they can change from gas into other media such as water droplets.  In order to asses the impact of the chemicals on the environment generally and on such specific phenomena as smog and acid rain, these processes must be fully understood. This is the work that Dr. Ellis and his colleagues are undertaking.",3.1,N/A,12900,99998,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,Trent University,Peterborough,"$191,533","$482,833","Synthetic methodology, pollutant characterization, atmospheric transport, atmospheric chemistry, fluorocarbons, global warming potential, analytical chemistry, climate change",Capital,,David,,Ellis,Bio-economy and clean technologies
Ontario Research Fund - Research Infrastructure,202560,Key Input Parameter Laboratory: Fundamental laboratory-based measurements of parameters required to establish reliable models,"Infrastructure for research focused on development, evaluation, and application of modelling tools to improve understanding and management of chemical conaminents and nutrients in the environment: specifically, the measurement of key parameters of physical-chemical properties for pollutants that are required to establish reliable environmental models.",3,N/A,10600,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Trent University,Peterborough,"$75,000","$187,500","Simulation, mass balance models, model scale, uncertainty, parameter measurements",Capital,,Julian,,Aherne,Not Applicable
Ontario Research Fund - Research Infrastructure,202281,Molecular Ecology of Insects and their Viral Pathogens,"The proposed research will have a significant impact on the Canadaian research community and the environment by generating environmentally benign biological control agents for the management of agricultural and forest insect pests, and by conducting risk assessment and gate of microbials in the field.",6.3,N/A,14100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Algoma University,Sault Ste. Marie,"$125,000","$317,775","ecology, entomology, baculovirology, biocontrol, evolution, rural",Capital,,Jennifer,S.,Cory,Not Applicable
Ontario Research Fund - Research Infrastructure,8633,Integrative Genomics for Health Research,"The infrastructure would provide the ability to study the genetic defects underlying many diseases. The infrastructure includes platforms for comparative genomic hydridization, microarrays, DNA and cell banking, animal chromosome analysis, high-throughput sequencing and genotyping, as well as supporting information technology.The goal of this project is to harness the full power of genomics to have as great an impact on human health as possible.",4.9,N/A,14400,99998,Large Infrastructure Fund - Round 001 - 2004,16-Dec-04,The Hospital for Sick Children,Toronto,"$1,454,459","$11,706,437","Comparative and population genomics, computational biology, genome variation, common complex diseases",Capital,,Stephen,,Scherer,Advanced health technologies
Ontario Research Fund - Research Infrastructure,9486,Personality and Well-Being:  The Carleton University Happiness Laboratory - CUHL,"The purpose of the laboratory is to apply diverse, state-of-the-art methods and assessment techniques to the understanding of emotion processes that contribute to individual differences in subjective well-being, in order then to develop effective strategies for improving quality of life, productivity, and health.",4,N/A,15100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Carleton University,Ottawa,"$189,647","$474,067","psychological well-being, personality, emotion-cognition interactions, experience sampling",Capital,,John,,Zelenski,Advanced health technologies
Ontario Research Fund - Research Infrastructure,9554,Facility for Enzyme Kinetics and Gene Regulation Studies Investigating Sulfur Amino Acid Metabolism,"The research is focussed on the characterization of a number of enzymes in sulfur metabolism of plants, mammals and bacteria. The research has clear environmental application such as: the production of varieties of crop plants with improved nutritional quality and resistance to atmospheric pollution; the photoremediation of soil contaminated with heavy metals; and an improved understanding of the metabolism of homocysteine, an independent risk factor for atherosclerosis, in humans that will lead to the development of novel therapeutics for disease including homocystinuria, down syndrome and atherosclerosis. The research is innovative, important and under-represented in Canada.",6.1,N/A,14800,99998,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Carleton University,Ottawa,"$201,778","$507,361","Sulfur amino acid metabolism, enzymology, kinetics, molecular biology, protein structure-function relationships, biophysical spectroscopy, regulation of gene expression, pyridoxal 5’-phosphate, plant biochemistry, heme cofactor, rural",Capital,,Susan-Marie,,Aitken,Advanced health technologies
