_id,Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
420,Ontario Research Fund - Research Infrastructure,202973,Resources for Scientific Computing and Visualization,"Ontario is Canada’s leader in using medical imaging for diagnostic and scientific purposes. The focus of Dr. Wan’s research at the University of Waterloo is finding improved ways to use medical imaging to find out what causes a health problem and laying out what has to happen during an operation. This will contribute to better patient outcomes in surgery, lower mortality rates, and lower overall costs to the health-care system. The Ontario Research Fund infrastructure award will help pay for computer hardware and software to produce complex simulations of injuries like traumatic brain damage and images of organ structures. The research will advance the basic science that underlies medical image processing and the computer-simulation used in many medical applications like pre-operative planning, training, diagnosis through medical imaging and aids to surgery.",7.6.3,N/A,11800,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,University of Waterloo,Waterloo,"$132,273","$335,441","Scientific visualization, Biomedical simulation, Multigrid methods, Image registration, PDE modelling",Capital,"",Justin,W.L.,Wan,Advanced health technologies
421,Ontario Research Fund - Research Infrastructure,8883,Carleton University Centre For Advanced Studies In Visualization and Simulation (V-SIM),"The infrastructure established by this project would be unique in Canada and comparable to the best in other countries. The research program includes many topics with significant potential industry impact such as the design of human system technologies (e.g. pilot cockpits interfaces) stereoscopic image applications (e.g. Digital TV), cybercartography for economic decision making an computer based real time simulation models which lead directly to architectural design.The use of new immersive technology to develop 3 dimensional cell and tissue prototypes that can be used to reconstruct, monitor and predict the effects of treatment on cell function and tissue regeneration.",7,N/A,21300,99998,Large Infrastructure Fund - Round 001 - 2004,2004-12-16T00:00:00,Carleton University,Ottawa,"$2,311,738","$28,316,360","cognitive modelling, simulation, visualization, cognition engineering, cognitive science, architecture, distributed systems, aviation",Capital,"",Chris,"",Herdman,Digital media and information and communications technologies
422,Ontario Research Fund - Research Infrastructure,9219,Police Research Laboratory (PRL),"The laboratory will focus on three areas of research: (1) testing the reliability and validity of psychologically based investigative techniques, (2) exploring the use of diagnostic decision aids designed to improve police decision making, and (3) studying the role of simulation technology in police training. The PRL will make recommendations for change in the criminal justice system and commercial industry.",10,N/A,22100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,Carleton University,Ottawa,"$214,212","$537,235","police procedures, police training, police decision making, police technology, police investigations",Capital,"",Bennell,"",Craig,Not Applicable
423,Ontario Research Fund - Research Infrastructure,9813,"An Applied Data Research Facility for the Understanding, Prevention and Treatment of Kidney Diseases","To date much renal research has focussed on the basic sciences with less emphasis on epidemiological and clinical research that is essential to the development of solutions to the challenges posed by renal disease. This project has proposed an ambitious research program which will bridge the basic, applied and population health sciences.",4.9,N/A,41600,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,The University of Western Ontario,London,"$199,252","$498,497","kidney diseases, dialysis, transplantation, statistical modelling, health informatics, health services research, databases, biological specimen storage",Capital,"",Amit,"",Garg,Advanced health technologies
424,Ontario Research Fund - Research Infrastructure,9819,"An ""Experience Sampling"" Social Cognitive Neuropsychological Facility for the Study of Maladaptive Behavioural Consequences of Alcohol Use","The equipment will allow researchers to understand the complex cognitive changes that occur in response to alcohol from participants who will be able to respond in ""real time"" from their natural environments via a hand-held personal device.",4,N/A,22100,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,The University of Western Ontario,London,"$81,587","$203,969","experience sampling methods, alcohol use/abuse, cognitive control mechanisms, human aggression",Capital,"",Peter,N.S.,Hoaken,Advanced health technologies
425,Ontario Research Fund - Research Infrastructure,9863,Genetic Applications to the Study of Mouse Models of Human Disease,This project is highly innovative and can take advantage of recent sequencing of the mouse genome to more rapidly identify genetic modifiers that can influence the phenotypic appearance of diseases. The search for genetic modifiers is a growing field and one that is widely recognized as the next major step in determining the genetic contributions to disease or susceptibility to disease.,4.1,N/A,14400,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,The University of Western Ontario,London,"$224,571","$561,429","Genetics, mouse models, cystic fibrosis, Alzheimer's Disease, cancer, modifier genes",Capital,"",Richard,"",Rozmahel,Advanced health technologies
426,Ontario Research Fund - Research Infrastructure,10083,Establishment of state-of-the-art cardiovascular tissue engineering laboratory.,"The infrastructure will make it possible to combine precise, temporally and spatially varying mechanical foces to the growing tissue-engineered vascular vessel construct whilst measuring the physiological, biochemical and mechanical properties at the same time. This will allow the successful development of tissue engineered blood vessels.",4.3,N/A,11000,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,The University of Western Ontario,London,"$199,513","$498,787","Vascular tissue engineering, bioreactor, cell culture, elastin, extracellular matrix, mass transfer, scaffold, mechanical properties.",Capital,"",Kibret,"",Mequanint,Advanced health technologies
427,Ontario Research Fund - Research Infrastructure,10102,Crystallographic studies of key proteins in translesion DNA replication and mutagenesis,"Research initiative for three dimensional studies of proteins involved in cancer and anti-cancer drug resistance. The research is to substantially expand current knowledge of DNA damage-induced carcinogenesis, such as high cancer incidence correlated with environmental pollution, and to develop new anti-cancer drugs.",4.9,N/A,14800,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,The University of Western Ontario,London,"$240,000","$599,979","translesional DNA synthesis, mutagenesis, cancer, protein structure-function, structure-based drug design, protein overexpression and purification, DNA purification, X-ray crystallography",Capital,"",Hong,"",Ling,Advanced health technologies
428,Ontario Research Fund - Research Infrastructure,11319,Facility for research on the neural basis of the affective component of pain,"Anybody who experiences pain knows that the emotions it generates, like fear and anxiety, can be overwhelming and affect mood. Mood disorders like stress and depression stall recovery from pain and add to such burdens as missed work and leisure. Dr. Eric Dumont of Queen’s University wants to improve the lives of people who suffer from pain by providing for better management of these mood disorders. He will use new equipment purchased with an infrastructure award from the Ontario Research Fund to visualize and measure brain cell activity in those parts of the brain that are involved in emotions. This research, which will lead to a clearer understanding of brain processes involved in the emotional aspects of pain, will result in a new drug and psycho therapies for better pain management and treatment.",4.1,N/A,15200,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,Queen's University,Kingston,"$120,000","$300,000","electrophysiology, patch-clamp, fluorescent microscopy, stereotaxy, pain, opioids, brain slices, neurotransmission, neurocircuitry, emotion",Capital,"",Eric,"",Dumont,Advanced health technologies
429,Ontario Research Fund - Research Infrastructure,11694,Adolescent Socioemotional Development Laboratory,"A Queen’s University research group led by psychologist Tom Hollenstein is preparing to use video cameras, sensors, amplifiers and three high-powered computers to study parent-child dynamics during adolescence and ultimately help parents, teachers and clinical professionals do a better job of preventing, detecting and treating emotional problems like depression among teenagers. The equipment, purchased with an Ontario Research Fund infrastructure award, will allow Dr. Hollenstein and his colleagues to make digital video and psycho-physiological recordings (e.g., heart rate) of up to three people simultaneously and measure changes in patterns of emotional behavior during parent-child interactions from late childhood through adolescence. This process will reveal important features of adolescent emotional development that will signal problems to come.",8,N/A,22100,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,Queen's University,Kingston,"$54,970","$137,425","adolescence, development, socioemotional development, dynamic systems, methodology, observational methods; emotion regulation; psychophysiology",Capital,"",Tom,"",Hollenstein,Not Applicable
430,Ontario Research Fund - Research Infrastructure,11724,Infrastructure for MEMS/NEMS dynamic testing,"Ontario’s motor vehicle manufacturers and parts makers, who drive the provincial economy, need new components and materials on an ongoing basis for safer, lighter, more efficient vehicles here and worldwide.  A Queen’s University research group led by engineer Yongjun Lai proposes to help meet those needs by researching and developing tiny, next-generation ceramic electro-mechanical components for use in harsh, high-temperature environments like the internal combustion engine. These components are called Micro (thousandths of a meter) and Nano (billionths of a meter) Electro-Mechanical Systems (MEMS/NEMS).  Dr. Lai will use the Ontario Research Fund infrastructure award to purchase a Micro System Analyzer (MSA) to test the behaviors of MEMS/NEMS.  The outcome of this research will potentially contribute to the development of new gas sensors that will reduce pollution and increase energy efficiency.",7.14,N/A,11200,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,Queen's University,Kingston,"$206,962","$517,407","MEMS/NEMS (Micro/Nano-Electro-Mechanical System), BioMEMS, Integrated MEMS, Ceramic-MEMS, Micro smart systems, Micromechatronics, Microactuators, Microsensor, Microassembly, Micromanipulation, Laser Micromachining, climate change",Capital,"",Yongjun,"",Lai,Not Applicable
431,Ontario Research Fund - Research Infrastructure,11738,Multidisciplinary Analysis and Design of Innovative Biomechanical and Automotive Systems,"Engineering researchers at Queen’s University expect products as varied as longer-lasting artificial joints and better lightweight cars to flow from new computer-driven design methods and tools they plan to develop. Led by Il-Yong Kim, the Queen’s group is developing new conceptual design methodologies, an integrated approach to analyzing design models and optimizing these by systematically trading off various internal features. The aim is innovative designs for biomechanical and automotive systems. The researchers are expecting that their deeper and broader approach to design will mean better, more robust artificial joints that will reduce costly and painful rehabilitation surgeries. Producing designs for lightweight vehicle chassis is intended to ultimately reduce vehicle emissions, and lower manufacturer costs.",4.3,N/A,11200,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,Queen's University,Kingston,"$100,000","$441,523","Multidisciplinary Design, Optimization, Finite Element Method, Conceptual Design, Biomechanical Design, Automotive Design, climate change",Capital,"",Il-Yong,"",Kim,Advanced health technologies
432,Ontario Research Fund - Research Infrastructure,12482,Delineating the mechanisms of microvascular dysfunction during gastrointestinal disease,"Inflammatory bowel disease (IBD) is among the most prevalent and painful chronic conditions in the Canadian population. Blood circulation studies led by Alan Lomax will examine what happens at the cellular level that makes the blood vessels of IBD sufferers dysfunctional. By gaining a better understanding of how normal blood supply systems differ from IBD models, it is hoped that targets will be identified for developing drugs to correct the blood flow changes that contribute to the disease.  By restoring normal blood flow it is hoped that inflammatory flare-ups will be prevented and remission from symptoms extended.",4.1,N/A,15200,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,Queen's University,Kingston,"$80,000","$200,000","gastrointestinal tract, inflammation, physiology, nervous system, cardiovascular system, electrophysiology, cell biology, pharmacology",Capital,"",Alan,"",Lomax,Advanced health technologies
433,Ontario Research Fund - Research Infrastructure,12598,Integrating Basic and Translational Cancer Research Through Studies of the DNA Damage Response,"The aim of this research is to develop effective cancer tests, leading to treatments tailored to individual patients. Scott Davey, a geneticist and molecular biologist, will lead researchers developing tests to improve the diagnosis of hereditary breast cancer and to determine which treatment is best for an individual patient. Identifying individuals who have an extreme sensitivity to radiation, for example, would allow cancer treatment to be guided more effectively by oncologists These applied studies are being fused with the lab’s historic work on DNA repair. By altering a cancer cell’s ability to repair DNA damage, the efficacy of cancer treatments such as radiotherapy and chemotherapy would be increased.",4.9,N/A,14700,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,Queen's University,Kingston,"$217,760","$544,400","Cell Cycle Checkpoint Control, DNA Damage and Repair, Genomics, Translational Research, Cancer Biology, Yeast Genetics, Radiobiology, Personalized Medicine, DNA-based Diagnostics",Capital,"",Scott,"",Davey,Advanced health technologies
434,Ontario Research Fund - Research Infrastructure,10404,"Molecular weight determination of well-defined, stimuli-responsive, carbohydrate polymers prepared by living radical polymerization – Triple Detection Gel Permeation Chromatography","The research program is focused on the design and synthesis of engineered, stimuli-responsive, carbohydrate-derived polymers with biolgocial motifs for biomolecular recognition processes, for use in drug delivery and for easy uptake in cells.",4.3,N/A,13200,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,Laurentian University,Sudbury,"$48,433","$121,095","polymers and proteins analysis, living radical polymerization, molecular weight determination of polymers, carbohydrate polymers analysis, drug delivery",Capital,"",Ravin,"",Narain,Advanced health technologies
435,Ontario Research Fund - Research Infrastructure,10672,Infrastructure to facilitate conservation genetic studies of amphibian populations.,"Research program seeks to understand factors that influence genetic variability by exploring the relationships between traffic density, gene flow reduction and population isolation (such as habitat fragmentation by roads).  Proposed infrastructure to include basic equipment for genetic analysis and a field vehicle for sampling.",3.10,N/A,14100,99998,Small Infrastructure Fund - Round 004 - 2005 - June,2005-10-24T00:00:00,Laurentian University,Sudbury,"$49,048","$122,620","Conservation biology, evolutionary ecology, molecular ecology, amphibians, fragmentation, road effect, gene flow, spatial-temporal variation, natural selection",Capital,"",David,"",Lesbarreres,Not Applicable
436,Ontario Research Fund - Research Infrastructure,10868,Stopped-flow UV-VIS spectrophotometer/spectroflurometer system for investigations on the mechanism of anthrax lethal factor and other zinc-dependent metalloproteins.,"Dr. Stefan Siemann and his colleagues at Laurentian University will carry out research that is aimed at gaining an insight into how zinc enzymes, such as the anthrax lethal factor, function on a molecular level.  The findings could possibly help pharmaceutical companies develop inhibitors of Lethal Factor (LF) in toxins such as anthrax, botulinum neurotoxin and tetanus toxin. The ORF Research Infrastructure award will be used to purchase sophisticated lab equipment required to carry out the proposed research and to train students in the measurement and evaluation of enzyme kinetics.",4,N/A,14800,99998,Small Infrastructure Fund - Round 005 - 2005 - October,2006-06-26T00:00:00,Laurentian University,Sudbury,"$65,601","$164,002","UV-VIS spectroscopy, fluorescence spectroscopy, anthrax lethal factor, zinc proteins, enzyme mechanisms, rapid kinetics, stopped-flow, metal substitution",Capital,"",Stefan,"",Siemann,Advanced health technologies
437,Ontario Research Fund - Research Infrastructure,11227,Sediment analysis and paleolimnological laboratory,"Climate change and human activity such as mining and land development have major negative impacts on the natural environment. If these impacts are to be minimized or corrected, there must be a thorough understanding of how they develop and work. Dr. Randy Dirszowsky, of Laurentian University will use an Ontario Research Fund infrastructure award to create an environmental change laboratory. The laboratory will analyze soil and sediment samples from the Sudbury area to determine the interplay between climate change and human activity and how that affects the natural environment. Research findings supported by the new laboratory will provide policy and decision-makers and environmental managers with credible information on the nature, scope and potential vulnerabilities of Ontario’s ecosystems to changing climate and land use practices.",3.10,N/A,13500,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,Laurentian University,Sudbury,"$49,412","$123,529","sediment budgets, fingerprinting, geomorphology, paleolimnology, watersheds, climate change, human impact, environmental pollution, Boreal Shield landscapes, rural,  climate change",Capital,"",Randy,"",Dirszowsky,Not Applicable
438,Ontario Research Fund - Research Infrastructure,12478,Pulsed Electron Deposition Facility for Value-Added Advanced Materials Processing,"Led by Redhouane Henda, this Laurentian University team is focusing on developing advanced, novel high-temperature coatings, such as ceramics and catalysts. The ceramics that could emerge from the research could be useful in the mining, petroleum, and aerospace industries. Catalysts when used in natural gas would allow for a much cleaner burning process, helping to meet increasingly rigorous emissions standards.",7.2,N/A,10900,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,Laurentian University,Sudbury,"$85,095","$227,903","Value-added minerals, materials processing, emerging materials, coatings, inorganic materials, nanotechnology, environmental remediation, clean energy, process beneficiation, rural, climate change",Capital,"",Redhouane,"",Henda,Not Applicable
439,Ontario Research Fund - Research Infrastructure,10619,Development of tools and technologies for water resources management and planning.,"The research will investigate strengths and weaknesses of a range of watershed models and their accuracy in prediction of runoff, sediment and nutrient loads for selected pilot watersheds in Ontario.  This research will lead to improvements in capabilities of watershed models, which are commonly used for identification and management of contanimant sources in Ontario watersheds.",2.6,N/A,10600,99998,Small Infrastructure Fund - Round 004 - 2005 - June,2005-10-24T00:00:00,University of Guelph,Guelph,"$123,613","$309,033","Water Quality Monitoring, Remote and In-Situ Sensing Technology, Water Quality Modeling, Source Water Protection, Nutrient Management, Land Use Planning, Integrated Decision Support Tools, water, wastewater",Capital,"",Bahram,"",Gharabaghi,Bio-economy and clean technologies
440,Ontario Research Fund - Research Infrastructure,10679,Infrastructure For The Synthesis and Structural Characterization of DNA Adducts,The applicant's research focuses on the structural and biological impact of covalent DNA adducts.,3,N/A,13100,99998,Small Infrastructure Fund - Round 004 - 2005 - June,2005-10-24T00:00:00,University of Guelph,Guelph,"$125,000","$324,119","DNA Synthesizer, HPLC, Fluorescent Spectrophotometer, BioOrganic Chemistry, DNA Adduction, Phenolic Xenobiotics, Ochratoxin A, Chlorophenols, Mutagenicity, DNA structure",Capital,"",Richard,A.,Manderville,Advanced health technologies
441,Ontario Research Fund - Research Infrastructure,10716,Mass spectrometry platform for the comprehensive chemical analysis of complex mixtures in environmental and biological samples,"The proposed research program will provide information about the identity, levels and effects of human exposure to health hazards through drinking water consumption.",3.4,N/A,12900,99998,Small Infrastructure Fund - Round 004 - 2005 - June,2005-10-24T00:00:00,University of Guelph,Guelph,"$176,252","$565,287","Mass spectrometry, Tandem mass spectrometry, FAIMS, Liquid Chromatography, Environmental Analysis, Water Analysis, Complex Mixtures, Structural Identification, High Priority Pollutants, Chiral Separations, water, wastewater",Capital,"",Wojciech,"",Gabryelski,Bio-economy and clean technologies
442,Ontario Research Fund - Research Infrastructure,10747,High Brilliance Small Angle X-Ray Scattering Beamline,"The proposed project intends to develop a three meter long high brilliance small angle x-ray scattering beamline that takes advantage of the fine focus copper rotating anode x-ray generator at the physics Dept. of the UOGuelph.  The facility will be capable of providing nanoscale structure information of metallic alloys, synthetic polymers in solution, and in bulk, biological macrocomolecules in solutions, emulsions, porous materials, ion implanted materials, self-assembled systems and nanoparticles.",7.6,N/A,12300,99998,Small Infrastructure Fund - Round 004 - 2005 - June,2005-10-24T00:00:00,University of Guelph,Guelph,"$125,000","$323,915","small angle x-ray scattering, SAXS, nanostructures, polymers, macromolecules",Capital,"",Stefan,"",Kycia,Not Applicable
443,Ontario Research Fund - Research Infrastructure,8143,Large Lake Ecosystems: A facility to quantify and model the impact of multiple stressors,The project is an innovative research program assessing the impacts of stressors on the ecosystems of the Great Lakes is comprehensive and has clearly described objectives.,3.10,N/A,10001,99998,Large Infrastructure Fund - Round 001 - 2004,2004-12-16T00:00:00,University of Windsor,Windsor,"$611,360","$5,048,079","multiple stressors, aquatic ecosystems, environmental genomics, exotic species, bioavailability, heavy metal isotopes, organic and metal toxicity, chemical and biological dynamics, water, wastewater",Capital,"",Brian,"",Fryer,Not Applicable
444,Ontario Research Fund - Research Infrastructure,10562,Infrastructure for an Integrative Nutritional Sciences and Metabolic Physiology Laboratory: Establishment of a Metabolic Biomarker and Adipokine Facility,The requested infrastructure will be used to establish a Metabolic Biomarker and Adipokine Facility.  The proposed infrastructure will facilitate understanding of how critical metabolic biomarkers and adipokines respond to diet and/or exercise and has applications for a wide-range of metabolic disease states.,4,N/A,40600,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,University of Guelph,Guelph,"$116,611","$291,527","diet, lipids, carbohydrates, adipokines, cytokines, insulin resistance, obesity, diabetes, oral fat tolerance tests",Capital,"",Lindsay,E.,Robinson,Advanced health technologies
445,Ontario Research Fund - Research Infrastructure,10577,Department of Mathematics and Statistics at University of Guelph – High Performance Computing Project (MS-HPC),"This High Performance Computing Project aims to enhance the transfer of computational mathematical expertise among researchers at the University of Guelph's Department of Mathematics and Statistics and the rest of the applied mathematical communities province-wide, Canada-wide and internationally.",7.1,N/A,12100,99998,Small Infrastructure Fund - Round 004 - 2005 - June,2005-10-24T00:00:00,University of Guelph,Guelph,"$268,996","$831,467","High-performance computing, Modelling in Epidemiology, Biomathematics, Operations Research, Optimization, Quantum Computing",Capital,"",Monica-Gabriela,"",Cojocaru,Not Applicable
446,Ontario Research Fund - Research Infrastructure,9811,High Performance Computing Cluster for Fuel Cell and Hydrogen Research,The proposed infrastructure will be used prodominantly to conduct fuel cell and hydrogen related research. This research is suffiently applied to attract the attention of industry.,7.5,N/A,11200,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Windsor,Windsor,"$50,000","$125,000","High-performance computation, computer cluster, low-cost supercomputer, fuel cell design, fuel cell modelling, hydrogen technology",Capital,"",Biao,"",Zhou,Digital media and information and communications technologies
447,Ontario Research Fund - Research Infrastructure,10035,Comparative Proteomics of Yeast Fermentation,"The proposed infrastructure will enable cutting edge research that should assist the Canadian wine industry to produce for international markets products of reproducibly high quality. A major challenge in wine fermentation is to have yeasts that can adapt to environmental stresses such as tolerate high ethanol concentrations and grow when nutrient limited, and remain highly active to produce the desirable characteristics of fine wines. The research into understanding the molecular mechanisms of yeasts in ethanol production should lead to Canadian enologists using more science-based appraoch for developing and selecting the best yeast strains for wine production.",7,N/A,14600,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Guelph,Guelph,"$125,000","$314,808","Microbial adaptation, intracellular signaling responses, intracellular trafficking, protein fractionation and separation, protein identification, yeast fermentations, yeast metabolism and molecular biology",Capital,"",George,"",Van Der Merwe,Not Applicable
448,Ontario Research Fund - Research Infrastructure,10104,Cryptosystems Security Research Laboratory at the University of Guelph.,The infrastructure funded will enable development of high-performance security algorithms and cryptographic hardware that will enhance the security of electronic communications.,7.6,N/A,11600,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Guelph,Guelph,"$118,542","$313,904","cryptosystems security, IC/FPGA cyrptographic co-processors, software/hardware countermeasures against power analysis attacks, elliptic curve cryptosystems, cryptographic algorithms, security of communication.",Capital,"",Radu,"",Muresan,Digital media and information and communications technologies
449,Ontario Research Fund - Research Infrastructure,12474,Microneurography facility for the investigation of spinal circuitry in the human related to movement and balance,"Leah Bent and her team will study how the signals sent to the brain from the skin, muscles and joints have an influence on balance and posture. The researchers hope to isolate which skin receptors are involved in modulating muscles of the lower limbs. Activation of the appropriate skin receptors by customized ambulatory aids could help improve stability and mobility for those with problems maintaining correct balance and posture. Falls are the leading cause of unintentional injury and death among older Canadians, accounting for more over 80 per cent of injury-related admissions to hospital among people 65 and older. Seventy per cent of fall-induced injuries suffered by seniors are bone fractures, of which hip fractures are the most common. Reducing such injuries would be reflected in reduced costs for the health-care system in treating these injuries.",4,N/A,15200,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,University of Guelph,Guelph,"$86,529","$216,323","balance control, microneurography, cutaneous, vestibular, sensory integration, motor control, reflexes, spinal networks, peripheral loops, descending control",Capital,"",Leah,"",Bent,Advanced health technologies
450,Ontario Research Fund - Research Infrastructure,12521,"Research setup for active food packaging systems, biodegradable material forming, and food-packaging interaction.","Scientists at the University of Guelph, led by Loong-Tak Lim, are examining the way food and its packaging interact and are looking to devise innovative, environmentally-friendly packaging that will enhance both food quality and its shelf-life. Modern packaging can offer more than to simply passively protect food products. An emerging technology, known as active packaging, is designed to respond to the internal and/or package environment and actively carry out functions to extend shelf life. Another possibility lies in intelligent packaging, which possesses chemical and/or physical mechanisms that monitor the product and package condition and provide feedback (such as colour change) to reflect the state of the product. By combining the benefits of both approaches, an advanced packaging system can be achieved. The creation of these systems from such renewable materials as corn and soy proteins could offer both environmental and consumer benefits.",7.12,N/A,15000,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,University of Guelph,Guelph,"$84,418","$211,044","Food packaging, electrospinning, FTIR, controlled release, active packaging, oxygen scavenger/indicator, nanofiber, nanocomposite, biodegradable polymers, protein films.",Capital,"",Loong-Tak,"",Lim,Not Applicable
451,Ontario Research Fund - Research Infrastructure,11261,Pattern formation in the cerebellum: deciphering the stripes.,"Viruses, such as avian flu, constitute one of today’s greatest threats to human health and the global food supply. Dr. Carol Armstrong and her colleagues at the University of Guelph are preparing to conduct studies that could show how to protect against viruses. Working with new laboratory equipment, funded with an Ontario Research Fund infrastructure award, Dr. Armstrong will transfer “genes of interest” into developing chick embryos and study the resulting changes. One potential outcome is greater insight into how these work so that their effects can be nullified. Another is a greater understanding of how structural patterns form in the cerebellum – that part of the brain that governs movement – and how the cerebellum is organized.",4.9,N/A,14900,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,University of Guelph,Guelph,"$124,906","$312,266","development, neuroscience, cerebellum, axon guidance, electroporation, immunohistochemistry. in situ hybridization, fluorescent imaging",Capital,"",Carol,"",Armstrong,Advanced health technologies
452,Ontario Research Fund - Research Infrastructure,11280,Laboratory for the Development of New Analog Integrated Circuits and Microsystems,"Greater protection against bacterial and chemical contaminants in the environment is the goal of engineering research at the University of Guelph.  Dr. Stefano Gregori and his colleagues will work with new equipment bought with an Ontario Research Fund infrastructure award to design, fabricate and evaluate new analog integrated circuits (ICs) and microsystems, including wireless microsensors. The new microsystems promise to have a significant impact in environmental monitoring and the cleanups. New sensor networks will be used to measure toxic levels at low concentrations and trace contamination back to source, track global changes in ecosystems with chemical, physical, acoustic, and image sensors, or detect dangerous bacterial and contaminant levels on the farm.",7.6,N/A,11600,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,University of Guelph,Guelph,"$135,004","$339,413","analog integrated circuit, microsystem, integrated sensor, system-on-chip, sensor network, data converter, wireless communication, optical communication, rural",Capital,"",Stefano,"",Gregori,Digital media and information and communications technologies
453,Ontario Research Fund - Research Infrastructure,11617,Development of a comparative epilepsy program,"Working with new laboratory equipment, funded with an Ontario Research Fund infrastructure award, Dr. Roberto Poma and his colleagues will investigate a number of aspects of epilepsy in dogs. They will search for brain locations that are the focus of seizures. They will also compare brain wave recordings with brain MRI images and explore the effectiveness of magnetic stimulation as a treatment.  The insights gained from this research will mean a better understanding of epilepsy in humans and a clearer idea of new treatments that can be applied.",4.8,N/A,15200,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,University of Guelph,Guelph,"$80,836","$202,090","Canine, Epilepsy, Brain, Seizures, Electroencephalography, Pathophysiology",Capital,"",Roberto,"",Poma,Advanced health technologies
454,Ontario Research Fund - Research Infrastructure,11749,Presynaptic Modulation of Neurotransmission,"More effective treatment for the roughly 125,000 people in Ontario who suffer from epilepsy is the ultimate goal of Ontario Veterinary College scientists. Led by Dr. John N. Armstrong, the researchers are using new equipment, purchased with an Ontario Research Fund infrastructure award, to study mechanisms that come into play just before “messages” jump across the gaps (synapses) between nerve cells and how these mechanisms regulate this transmission. This regulation is critical for normal brain function. Understanding “pre-synaptic” regulation could help lead to better epilepsy treatment by revealing new targets for new drugs.",4.9,N/A,15200,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,University of Guelph,Guelph,"$124,773","$311,931","synaptic physiology, molecular neurobiology, neuroanatomy, behavioural neuroscience",Capital,"",John,N.,Armstrong,Advanced health technologies
455,Ontario Research Fund - Research Infrastructure,11824,Sustainable Pest Management in Field and Horticultural Crops,"Greater agricultural productivity is the expected result of new, integrated, environmentally friendly systems to control insects, weeds, disease and other pests afflicting field and horticultural crops. These new precision systems are to be developed by Peter H. Sikkema and his team of researchers at the University of Guelph. Working with an eclectic array of new equipment (ranging from combines to computers), the researchers are developing approaches that combine genetics, agronomic practices, epidemic forecasting, timely applications of fungicide, and rapid harvesting. The requested new equipment will help develop and deliver high-quality experimental results in a variety of areas more efficiently.",6.1,N/A,14300,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,University of Guelph,Guelph,"$380,282","$950,704","weeds, insects, diseases, crops, integrated, management, rural",Capital,"",Peter,"",Sikkema,Not Applicable
456,Ontario Research Fund - Research Infrastructure,10202,Social and legal responses to violence in Canada.,"The proposed research aims to examine the effects of violence prevention programs and initiatives (social and legal) on actual rates of violence longitudinally, by incorporating advanced GIS modeling techniques, i.e. geographic availability of services, space-time patterns, etc. More specifically, the research focuses on violence in intimate relationships.",8,N/A,22600,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Guelph,Guelph,"$93,373","$233,434","sociology of law, criminal justice, courts, victim services, violence, public policy, research methods, gender, homicide",Capital,"",Myrna,"",Dawson,Not Applicable
